WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE
300.0,7.0,9.0,,,,,1022.1,8.4,17.7,-5.6,,-0.4,
310.0,6.0,8.0,0.5,,3.1,304.0,1022.2,8.5,17.7,-5.2,,,
310.0,6.0,9.0,0.5,3.0,3.1,304.0,1022.4,8.6,17.7,-4.9,,,
320.0,5.0,8.0,,,,,1022.5,8.5,17.7,-5.5,,,
310.0,5.0,8.0,0.5,4.0,3.1,268.0,1022.7,8.7,17.7,-4.8,,,
330.0,5.0,8.0,,,,,1022.7,8.6,17.7,-5.0,,-0.0,
330.0,5.0,8.0,0.4,,3.1,278.0,1022.7,8.8,17.7,-4.9,,,
340.0,5.0,7.0,0.4,4.0,3.1,278.0,1022.6,8.7,17.6,-5.4,,,
330.0,5.0,7.0,,,,,1022.7,8.8,17.6,-5.2,,,
320.0,5.0,8.0,,,,,1022.7,8.8,17.7,-4.8,,,
330.0,5.0,7.0,0.4,4.0,3.1,272.0,1022.8,8.9,17.7,-5.0,,,
330.0,4.0,6.0,,,,,1022.9,8.8,17.6,-5.4,,0.6,
340.0,4.0,7.0,0.4,,3.1,269.0,1023.0,8.8,17.6,-5.1,,,
330.0,4.0,7.0,0.4,4.0,3.1,269.0,1023.0,8.8,17.6,-5.5,,,
340.0,4.0,7.0,,,,,1023.0,8.8,17.6,-5.9,,,
330.0,3.0,6.0,,,,,1023.0,8.9,17.6,-5.3,,,
320.0,4.0,6.0,0.4,3.0,3.1,275.0,1023.2,8.9,17.6,-5.9,,,
320.0,4.0,6.0,,,,,1023.1,8.9,17.6,-5.8,,1.1,
330.0,3.0,5.0,0.4,,3.1,269.0,1023.2,9.0,17.6,-5.2,,,
320.0,4.0,5.0,0.4,4.0,3.1,269.0,1023.2,9.0,17.6,-5.1,,,
330.0,3.0,7.0,,,,,1023.2,9.0,17.6,-5.2,,,
320.0,4.0,5.0,,,,,1023.4,9.1,17.6,-4.8,,,
310.0,3.0,4.0,0.3,4.0,3.2,271.0,1023.5,9.1,17.7,-4.9,,,
330.0,3.0,5.0,,,,,1023.5,9.1,17.7,-4.8,,0.9,
320.0,3.0,5.0,0.4,,3.4,275.0,1023.6,9.1,17.7,-4.9,,,
320.0,3.0,5.0,0.4,4.0,3.4,275.0,1023.8,9.2,,-4.2,,,
310.0,3.0,6.0,,,,,1024.0,9.3,17.7,-4.2,,,
320.0,5.0,7.0,,,,,1024.0,9.4,17.6,-3.7,,,
320.0,4.0,6.0,0.4,4.0,3.4,269.0,1024.0,9.4,17.6,-3.6,,,
320.0,5.0,7.0,,,,,1024.1,9.4,17.6,-3.5,,1.1,
320.0,5.0,8.0,0.4,,3.5,266.0,1024.1,9.4,17.7,-3.2,,,
330.0,6.0,8.0,0.4,4.0,3.5,266.0,1024.1,9.4,17.7,-3.0,,,
330.0,5.0,8.0,,,,,1024.1,9.3,17.7,-3.5,,,
330.0,6.0,8.0,,,,,1024.1,9.2,17.7,-3.1,,,
330.0,6.0,8.0,0.4,4.0,3.2,277.0,1024.3,9.0,17.7,-2.0,,,
330.0,6.0,8.0,,,,,1024.4,8.8,17.7,-1.6,,1.1,
330.0,6.0,8.0,,,,,1024.3,8.6,17.7,-2.1,,,
340.0,5.0,7.0,0.4,4.0,3.0,273.0,1024.4,8.5,17.7,-1.9,,,
330.0,5.0,7.0,,,,,1024.4,8.5,17.7,-1.9,,,
320.0,5.0,7.0,0.4,,3.0,276.0,1024.4,8.4,17.7,-2.0,,,
320.0,5.0,9.0,0.4,4.0,3.0,276.0,1024.4,8.6,17.7,-1.2,,,
320.0,4.0,5.0,,,,,1024.3,8.4,17.7,-1.6,,0.7,
320.0,3.0,5.0,0.4,,3.0,270.0,1024.2,8.4,17.7,-1.8,,,
320.0,3.0,6.0,0.4,4.0,3.0,270.0,1024.3,8.4,17.7,-1.5,,,
320.0,4.0,7.0,,,,,1024.5,8.6,17.7,-0.8,,,
310.0,5.0,7.0,,,,,1024.7,8.7,17.7,-0.7,,,
310.0,6.0,8.0,0.4,4.0,3.1,273.0,1024.9,8.7,17.7,-0.3,,,
310.0,5.0,7.0,,,,,1024.9,8.6,17.7,-0.3,,0.8,
320.0,5.0,7.0,0.4,,3.0,272.0,1024.9,8.6,17.7,0.2,,,
320.0,6.0,9.0,0.4,4.0,3.0,272.0,1024.9,8.6,17.7,0.5,,,
320.0,6.0,9.0,,,,,1025.1,8.6,17.7,0.4,,,
320.0,7.0,9.0,,,,,1025.5,8.6,17.7,0.8,,,
320.0,8.0,10.0,0.4,3.0,2.9,300.0,1025.5,8.6,,0.8,,,
320.0,8.0,11.0,,,,,1025.7,8.6,17.7,1.3,,1.2,
320.0,8.0,12.0,0.6,,2.9,308.0,1025.7,8.6,17.7,1.5,,,
320.0,8.0,11.0,0.6,3.0,2.9,308.0,1025.8,8.5,17.7,1.6,,,
320.0,8.0,11.0,,,,,1025.8,8.2,17.7,0.6,,,
320.0,8.0,11.0,,,,,1025.8,8.1,17.7,-0.4,,,
330.0,8.0,11.0,0.7,3.0,3.1,299.0,1025.8,8.0,17.7,-0.5,,,
330.0,8.0,11.0,,,,,1025.8,7.9,17.7,-0.4,,1.5,
320.0,8.0,11.0,0.8,,3.3,291.0,1025.7,8.0,17.7,-0.1,,,
330.0,8.0,10.0,0.8,4.0,3.3,291.0,1025.9,7.9,17.7,-0.5,,,
330.0,8.0,10.0,,,,,1025.8,7.9,17.7,-0.3,,,
330.0,8.0,11.0,0.8,,3.4,286.0,1025.7,7.8,17.7,-1.1,,,
330.0,8.0,11.0,0.8,4.0,3.4,286.0,1025.8,7.8,17.7,-0.8,,,
330.0,8.0,11.0,,,,,1025.9,7.6,17.7,-0.5,,1.0,
330.0,8.0,10.0,0.8,,3.4,278.0,1026.0,7.6,17.7,-0.3,,,
330.0,8.0,10.0,0.8,4.0,3.4,278.0,1026.1,7.6,17.7,-0.4,,,
330.0,9.0,11.0,,,,,1026.0,7.4,17.7,-1.2,,,
330.0,8.0,9.0,,,,,1026.0,7.3,17.7,-1.1,,,
330.0,8.0,10.0,0.7,4.0,3.4,274.0,1026.0,7.2,17.7,-1.6,,,
330.0,7.0,10.0,,,,,1025.9,7.1,17.7,-1.7,,0.3,
340.0,7.0,9.0,0.7,,3.3,275.0,1026.0,7.0,17.7,-1.7,,,
340.0,8.0,9.0,0.7,4.0,3.3,275.0,1026.2,7.2,17.7,-1.3,,,
340.0,7.0,9.0,,,,,1026.3,7.2,17.7,-1.1,,,
340.0,8.0,10.0,0.7,,3.4,271.0,1026.3,7.2,17.7,-1.9,,,
350.0,8.0,11.0,0.7,4.0,3.4,271.0,1026.3,7.3,17.7,-1.5,,,
350.0,8.0,10.0,,,,,1026.4,7.2,17.7,-2.4,,0.6,
350.0,8.0,9.0,0.7,,3.4,268.0,1026.4,7.4,17.7,-1.3,,,
350.0,8.0,10.0,0.7,5.0,3.4,268.0,1026.5,7.4,17.8,-2.1,,,
340.0,8.0,11.0,,,,,1026.6,7.3,17.8,-2.3,,,
330.0,8.0,10.0,,,,,1026.8,7.4,17.8,-1.6,,,
340.0,8.0,10.0,0.7,3.0,3.3,347.0,1026.9,7.4,17.8,-1.6,,,
330.0,8.0,10.0,,,,,1027.2,7.4,17.8,-1.8,,1.3,
340.0,7.0,10.0,0.7,,3.4,348.0,1027.3,7.5,17.8,-2.3,,,
340.0,7.0,9.0,0.7,3.0,3.4,348.0,1027.3,7.6,17.8,-1.7,,,
330.0,8.0,11.0,,,,,1027.4,7.8,17.9,-1.4,,,
340.0,8.0,10.0,,,,,1027.6,7.8,17.9,-1.6,,,
