WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE
160.0,4.1,4.6,,,,,1026.0,4.7,,2.6,,-0.4,
130.0,3.1,3.6,,,,,1025.6,4.2,,2.3,,-0.3,
180.0,2.6,3.1,,,,,1025.5,4.3,,2.6,,-0.4,
150.0,6.2,6.2,,,,,1024.3,4.8,,3.1,,-1.7,
200.0,4.1,4.1,,,,,1024.0,4.9,,3.2,,-1.6,
170.0,6.2,6.7,,,,,1022.3,5.1,,3.5,,-3.2,
180.0,7.7,8.2,,,,,1021.2,6.0,,4.3,,-3.1,
170.0,7.2,7.7,,,,,1020.9,6.7,,5.0,,-3.1,
170.0,7.7,8.2,,,,,1020.1,7.0,,5.4,,-2.2,
190.0,5.7,5.7,,,,,1019.9,6.2,,4.7,,-1.3,
190.0,7.7,7.7,,,,,1020.1,6.4,,4.8,,-0.8,
190.0,4.6,5.1,,,,,1020.2,6.0,,4.4,,0.0,
180.0,4.1,4.1,,,,,1020.4,6.6,,5.0,,0.5,
200.0,4.6,5.1,,,,,1020.6,8.6,,7.0,,0.5,
170.0,6.7,7.2,,,,,1020.2,8.3,,6.6,,0.0,
190.0,6.2,6.7,,,,,1020.7,9.5,,8.0,,0.3,
190.0,3.6,3.6,,,,,1020.9,8.5,,7.2,,0.3,
240.0,2.1,3.1,,,,,1020.9,12.8,,11.2,,0.7,
170.0,1.0,1.0,,,,,1021.2,10.2,,8.8,,0.5,
30.0,4.6,5.1,,,,,1022.3,,,,,1.4,
30.0,4.1,4.1,,,,,1022.6,15.6,,14.4,,1.7,
20.0,3.6,4.1,,,,,1022.2,14.5,,13.3,,1.0,
30.0,3.1,3.1,,,,,1022.6,13.1,,11.9,,0.3,
50.0,3.6,3.6,,,,,1022.5,14.3,,13.2,,-0.0,
30.0,3.1,3.1,,,,,1023.2,14.3,,13.2,,1.0,
40.0,3.6,3.6,,,,,1022.9,15.8,,14.8,,0.3,
80.0,5.1,5.7,,,,,1022.0,15.7,,14.5,,-0.5,
20.0,6.2,6.2,,,,,1022.1,14.7,,13.4,,-1.1,
360.0,7.7,7.7,,,,,1021.9,10.5,,9.1,,-1.0,
40.0,7.2,7.7,,,,,1019.4,8.2,,7.0,,-2.6,
360.0,4.6,5.1,,,,,1018.1,8.3,,7.2,,-4.0,
30.0,8.2,8.8,,,,,1016.3,8.3,,7.2,,-5.6,
40.0,7.2,7.2,,,,,1016.2,7.7,,6.6,,-3.2,
10.0,6.2,6.2,,,,,1015.1,7.8,,6.8,,-3.0,
30.0,5.7,6.2,,,,,1012.8,8.4,,7.5,,-3.5,
330.0,4.6,4.6,,,,,1012.9,10.0,,9.0,,-3.3,
360.0,4.6,4.6,,,,,1011.9,10.5,,9.5,,-3.2,
350.0,3.1,3.1,,,,,1010.9,10.5,,9.5,,-1.9,
280.0,0.5,1.0,,,,,1010.2,11.0,,10.0,,-2.7,
300.0,5.1,5.7,,,,,1010.5,12.3,,11.3,,-1.4,
300.0,2.6,3.1,,,,,1010.7,8.9,,8.0,,-0.0,
330.0,1.0,1.5,,,,,1010.3,10.7,,9.8,,0.0,
300.0,1.5,2.1,,,,,1010.5,11.1,,10.2,,0.0,
190.0,1.5,1.5,,,,,1010.8,13.3,,12.4,,-0.0,
280.0,0.5,1.0,,,,,1011.7,11.1,,10.2,,1.4,
250.0,0.5,1.0,,,,,1011.6,11.2,,10.3,,1.1,
310.0,2.6,2.6,,,,,1012.1,12.2,,11.1,,1.3,
330.0,5.7,7.2,,,,,1012.7,13.7,,9.8,,1.0,
320.0,4.1,4.6,,,,,1013.4,10.5,,4.7,,1.8,
320.0,4.6,5.1,,,,,1013.6,8.2,,2.1,,1.5,
320.0,7.2,8.8,,,,,1014.9,6.8,,-0.9,,2.2,
300.0,6.2,6.7,,,,,1014.9,6.6,,-1.6,,1.5,
290.0,2.1,2.1,,,,,1013.7,6.5,,-1.7,,0.0,
300.0,9.8,12.9,,,,,1013.2,7.4,,-4.3,,-1.7,
320.0,10.3,12.4,,,,,1012.8,7.8,,-4.8,,-2.1,
280.0,11.3,12.9,,,,,1012.7,8.0,,-5.5,,-1.0,
300.0,12.4,14.9,,,,,1014.3,6.6,,-2.6,,1.1,
300.0,14.4,18.0,,,,,1015.9,5.8,,-4.2,,3.1,
300.0,13.9,15.4,,,,,1018.3,4.7,,-6.2,,5.6,
290.0,13.9,16.0,,,,,1019.4,3.8,,-7.7,,5.1,
290.0,12.9,14.9,,,,,1020.4,3.0,,-7.8,,4.5,
290.0,10.3,11.8,,,,,1021.4,2.7,,-7.4,,3.1,
300.0,11.3,12.9,,,,,1021.7,2.7,,-7.3,,2.3,
300.0,12.4,14.4,,,,,1022.5,2.5,,-6.9,,2.1,
310.0,8.8,9.8,,,,,1023.4,2.4,,-5.4,,2.0,
300.0,7.7,8.8,,,,,1024.3,2.2,,-5.9,,2.6,
300.0,7.7,9.3,,,,,1024.7,2.1,,-5.5,,2.2,
300.0,5.1,5.7,,,,,1024.4,2.0,,-5.4,,1.0,
300.0,5.7,6.7,,,,,1025.3,1.8,,-5.5,,1.0,
290.0,4.6,5.1,,,,,1025.3,1.4,,-5.7,,0.6,
290.0,4.6,5.1,,,,,1025.6,1.3,,-5.7,,1.2,
280.0,5.7,6.7,,,,,1026.4,1.4,,-6.1,,1.1,
250.0,4.6,5.1,,,,,1027.0,1.4,,-6.2,,1.7,
250.0,4.1,4.1,,,,,1027.6,1.8,,-5.8,,2.0,
280.0,7.2,8.2,,,,,1027.7,2.2,,-6.5,,1.3,
270.0,4.6,5.1,,,,,1027.7,2.6,,-6.6,,0.7,
260.0,4.6,5.1,,,,,1027.3,3.3,,-6.2,,-0.3,
230.0,4.1,4.6,,,,,1026.3,4.1,,-5.9,,-1.4,
220.0,3.6,4.1,,,,,1025.2,4.9,,-5.7,,-2.5,
180.0,5.1,6.7,,,,,1024.3,5.1,,-4.3,,-3.0,
230.0,4.1,4.6,,,,,1024.0,6.6,,-6.3,,-2.3,
240.0,5.1,5.7,,,,,1023.7,7.2,,-6.1,,-1.5,
180.0,4.6,4.6,,,,,1023.6,5.5,,-0.7,,-0.7,
200.0,6.2,6.7,,,,,1023.3,6.6,,-3.5,,-0.7,
180.0,7.2,7.7,,,,,1023.2,4.3,,1.2,,-0.5,
170.0,7.2,7.7,,,,,1022.7,4.3,,1.2,,-0.9,
180.0,5.7,6.2,,,,,1022.5,4.4,,1.1,,-0.8,
200.0,5.1,5.7,,,,,1022.3,4.6,,-0.6,,-0.9,
220.0,3.6,4.1,,,,,1022.5,4.8,,-2.8,,0.0,
280.0,3.6,3.6,,,,,1023.0,4.2,,-4.2,,0.5,
270.0,3.1,3.6,,,,,1022.9,3.6,,-4.7,,0.6,
220.0,1.5,2.1,,,,,1022.7,3.5,,-2.4,,0.0,
260.0,1.5,2.1,,,,,1022.4,3.4,,-2.9,,-0.6,
,0.0,0.5,,,,,1022.3,2.6,,-4.6,,-0.6,
300.0,2.1,2.1,,,,,1022.0,2.3,,-5.5,,-0.7,
120.0,1.5,1.5,,,,,1021.4,1.8,,-1.2,,-1.0,
,0.0,0.0,,,,,1021.3,2.4,,-0.6,,-1.0,
230.0,2.1,2.1,,,,,1021.6,2.3,,-0.2,,-0.4,
210.0,2.6,2.6,,,,,1021.7,2.2,,-1.1,,0.3,
170.0,6.2,6.7,,,,,1020.8,3.0,,-1.8,,-0.5,
180.0,5.1,6.2,,,,,1020.1,3.5,,-0.3,,-1.5,
170.0,6.2,6.7,,,,,1018.6,4.1,,-1.2,,-3.1,
170.0,7.2,7.7,,,,,1016.7,5.0,,-2.1,,,
160.0,7.7,8.2,,,,,1015.4,6.3,,-2.1,,-4.7,
160.0,7.7,8.8,,,,,1014.0,6.1,,-1.1,,-4.6,
170.0,7.7,8.2,,,,,1013.3,5.3,,0.4,,-3.4,
170.0,8.8,9.8,,,,,1012.6,5.2,,0.8,,-2.8,
160.0,7.2,7.7,,,,,1011.8,5.4,,1.4,,-2.2,
170.0,6.2,6.7,,,,,1010.9,5.4,,1.9,,-2.4,
170.0,7.2,8.2,,,,,1010.3,5.3,,2.3,,-2.3,
180.0,8.2,8.8,,,,,1009.6,6.8,,1.6,,-2.2,
200.0,10.3,10.8,,,,,1009.0,8.9,,-1.1,,-1.9,
210.0,10.3,11.3,,,,,1008.2,9.2,,-2.0,,-2.1,
220.0,8.2,9.3,,,,,1008.1,9.6,,-2.3,,-1.5,
220.0,8.2,8.8,,,,,1007.5,9.8,,-3.0,,-1.5,
220.0,7.2,8.2,,,,,1007.2,9.6,,-2.8,,-1.0,
200.0,4.6,5.1,,,,,1007.0,8.1,,-1.3,,-1.1,
190.0,4.6,5.1,,,,,1006.8,8.5,,-2.2,,-0.7,
220.0,5.1,5.1,,,,,1006.5,9.4,,-3.8,,-0.7,
180.0,3.6,3.6,,,,,1006.7,6.6,,0.1,,-0.3,
190.0,4.6,5.1,,,,,1006.6,8.0,,-2.0,,-0.0,
200.0,6.7,6.7,,,,,1006.7,8.9,,-3.5,,0.0,
160.0,6.2,6.2,,,,,1006.4,6.1,,0.4,,-0.3,
170.0,8.2,8.8,,,,,1006.5,6.0,,0.0,,0.0,
160.0,7.7,8.2,,,,,1005.4,5.9,,0.0,,-1.3,
160.0,7.2,7.7,,,,,1003.8,6.0,,0.0,,-2.6,
160.0,6.7,7.2,,,,,1003.0,6.0,,0.3,,-3.5,
170.0,7.7,8.2,,,,,1002.7,6.3,,0.2,,-2.7,
160.0,9.3,9.8,,,,,1001.5,6.3,,0.6,,-2.3,
170.0,9.3,10.3,,,,,1001.9,6.1,,1.3,,-1.1,
160.0,9.3,10.3,,,,,1000.0,5.8,,2.1,,-2.7,
160.0,10.3,11.3,,,,,999.5,5.5,,2.3,,-2.0,
170.0,8.2,8.8,,,,,999.2,5.6,,2.3,,-2.7,
180.0,6.7,7.2,,,,,999.1,5.7,,2.5,,-0.9,
160.0,5.1,5.7,,,,,,4.9,,2.5,,-0.5,
170.0,6.2,6.2,,,,,998.5,6.0,,2.7,,-0.7,
160.0,4.6,5.1,,,,,997.7,5.8,,2.6,,-1.4,
200.0,3.1,3.1,,,,,997.0,6.4,,3.1,,-2.0,
260.0,3.1,4.1,,,,,997.0,7.1,,3.7,,-1.5,
300.0,5.7,6.7,,,,,997.3,7.2,,3.7,,-0.4,
290.0,7.7,9.8,,,,,997.7,7.0,,1.9,,0.7,
290.0,12.4,13.9,,,,,998.1,6.3,,-2.8,,1.1,
310.0,10.8,12.9,,,,,999.3,4.6,,-4.5,,2.0,
300.0,13.9,18.0,,,,,1000.7,2.7,,-8.3,,3.0,
300.0,11.3,12.4,,,,,1002.2,1.3,,-8.1,,4.1,
290.0,13.9,14.9,,,,,1003.4,0.5,,-9.5,,4.1,
290.0,10.8,12.4,,,,,1004.4,0.0,,-10.4,,3.7,
290.0,11.8,13.4,,,,,1005.1,-0.3,,-11.0,,2.9,
310.0,9.8,11.8,,,,,1005.3,-0.2,,-11.9,,1.9,
300.0,9.8,11.8,,,,,1004.1,0.0,,-12.2,,-0.3,
280.0,9.3,11.8,,,,,1003.7,-0.5,,-12.6,,-1.4,
280.0,9.8,11.3,,,,,1003.5,-0.3,,-14.2,,-1.8,
280.0,10.8,13.4,,,,,1004.1,-0.5,,-13.1,,-0.0,
300.0,8.2,10.3,,,,,1004.8,-0.7,,-13.9,,1.1,
310.0,10.3,12.4,,,,,1005.3,-1.1,,-12.7,,1.8,
310.0,11.8,12.9,,,,,1006.0,-2.0,,-13.9,,1.9,
310.0,9.8,11.3,,,,,1006.5,-2.7,,-13.7,,1.7,
320.0,9.8,11.8,,,,,1007.2,-3.8,,-15.1,,1.9,
310.0,9.3,10.3,,,,,1008.1,-4.1,,-14.8,,2.1,
310.0,9.8,11.3,,,,,1008.5,-4.1,,-13.7,,2.0,
280.0,8.2,10.3,,,,,1008.6,-4.3,,-14.0,,1.4,
290.0,7.7,9.8,,,,,1008.9,-4.0,,-12.8,,0.8,
300.0,11.3,12.9,,,,,1009.2,-4.2,,-13.2,,0.7,
290.0,8.8,10.3,,,,,1010.5,-4.3,,-13.5,,1.9,
290.0,10.3,11.3,,,,,1011.8,-4.3,,-13.0,,2.9,
300.0,10.3,11.8,,,,,1012.6,-4.4,,-14.9,,3.4,
300.0,8.8,10.3,,,,,1013.8,-4.5,,-14.2,,3.3,
270.0,7.7,9.3,,,,,1014.8,-4.2,,-13.3,,3.0,
250.0,5.7,6.7,,,,,1016.2,-4.0,,-13.2,,3.6,
250.0,5.1,6.2,,,,,1016.4,-3.9,,-12.2,,2.6,
240.0,5.1,6.2,,,,,1017.3,-3.5,,-12.7,,2.5,
260.0,6.7,7.7,,,,,1017.8,-2.3,,-12.4,,1.6,
280.0,5.7,6.7,,,,,1018.2,-1.5,,-13.6,,1.8,
270.0,6.7,8.2,,,,,1018.5,-0.8,,-14.4,,1.2,
260.0,4.6,5.7,,,,,1017.5,-0.2,,-14.1,,-0.3,
210.0,4.6,5.1,,,,,1017.7,0.5,,-12.1,,-0.5,
190.0,5.1,5.7,,,,,1017.7,1.3,,-11.9,,-0.8,
180.0,2.6,3.6,,,,,1017.8,1.6,,-9.3,,0.3,
210.0,6.2,6.7,,,,,1018.2,2.5,,-11.9,,0.5,
190.0,7.2,8.2,,,,,1018.1,2.8,,-9.0,,0.4,
190.0,7.7,9.3,,,,,1018.3,3.2,,-7.9,,0.5,
190.0,8.2,8.8,,,,,1018.6,3.2,,-8.3,,0.4,
180.0,9.8,11.3,,,,,1018.3,3.6,,-6.7,,0.0,
170.0,9.8,10.8,,,,,1017.6,3.7,,-5.2,,-0.7,
180.0,9.3,9.8,,,,,1017.9,3.9,,-4.8,,-0.7,
190.0,7.2,8.2,,,,,1018.1,4.6,,-6.4,,-0.0,
200.0,8.8,9.8,,,,,1018.3,4.6,,-6.8,,0.7,
190.0,8.2,8.8,,,,,1018.3,4.5,,-7.0,,0.4,
180.0,8.2,8.8,,,,,1018.4,4.4,,-5.8,,0.3,
200.0,6.2,6.7,,,,,1017.8,4.1,,-6.5,,-0.5,
180.0,8.2,8.8,,,,,1017.1,4.2,,-6.3,,-1.2,
180.0,6.7,7.7,,,,,1017.3,4.2,,-3.9,,-1.1,
190.0,8.2,9.3,,,,,1017.6,4.5,,-4.0,,-0.0,
180.0,6.2,6.7,,,,,1018.6,3.9,,-1.2,,1.5,
170.0,6.7,7.2,,,,,1018.3,3.9,,-2.9,,1.0,
190.0,4.1,4.6,,,,,1019.0,3.8,,-1.6,,1.4,
200.0,5.1,5.7,,,,,1018.9,3.8,,-4.1,,0.3,
220.0,5.1,5.7,,,,,1018.8,2.7,,-2.3,,0.5,
210.0,4.6,4.6,,,,,1018.3,2.7,,-1.3,,-0.7,
230.0,3.6,4.1,,,,,1018.3,3.5,,-0.8,,-0.6,
230.0,3.1,3.1,,,,,1018.6,4.4,,-0.4,,-0.0,
160.0,1.0,1.5,,,,,1019.3,4.6,,0.0,,1.0,
140.0,2.1,2.1,,,,,1019.6,4.6,,-0.3,,1.3,
130.0,2.6,2.6,,,,,1020.2,4.5,,0.0,,1.6,
140.0,3.6,4.1,,,,,1020.6,4.1,,0.2,,1.3,
150.0,2.6,2.6,,,,,1020.8,3.9,,0.6,,1.2,
130.0,3.6,3.6,,,,,1020.1,4.4,,0.7,,0.0,
90.0,1.5,1.5,,,,,1020.4,3.6,,0.5,,-0.0,
70.0,1.5,1.5,,,,,1019.8,3.3,,0.7,,-1.0,
20.0,1.0,1.0,,,,,1019.9,3.3,,0.7,,0.0,
60.0,1.0,1.5,,,,,1018.5,3.1,,0.5,,-1.9,
10.0,1.5,2.1,,,,,1018.9,2.9,,0.6,,-0.9,
60.0,1.5,1.5,,,,,1017.8,2.8,,0.6,,-2.1,
320.0,2.1,2.1,,,,,1017.5,3.0,,0.9,,-1.0,
200.0,3.6,3.6,,,,,1017.6,3.7,,1.1,,-1.3,
130.0,5.1,5.1,,,,,1017.6,4.5,,1.5,,-0.0,
330.0,4.6,4.6,,,,,1018.4,2.5,,0.5,,0.9,
360.0,4.1,4.1,,,,,1017.9,1.9,,0.1,,0.3,
30.0,6.2,6.7,,,,,1017.1,,,,,-0.5,
20.0,6.2,6.7,,,,,1017.2,3.1,,1.3,,-1.2,
360.0,7.7,8.2,,,,,1016.5,2.6,,0.9,,-1.4,
360.0,7.7,8.8,,,,,1015.9,2.4,,0.2,,-1.2,
360.0,7.2,7.7,,,,,1014.5,2.2,,-0.3,,-2.7,
360.0,7.2,7.7,,,,,1013.3,2.5,,-0.7,,-3.2,
360.0,8.8,9.3,,,,,1012.1,1.9,,-1.3,,-3.8,
350.0,6.7,7.2,,,,,1012.7,1.0,,-1.0,,-1.8,
340.0,10.3,12.4,,,,,1013.2,4.9,,3.1,,-0.0,
340.0,8.2,9.3,,,,,1014.9,0.0,,-1.8,,2.8,
340.0,7.2,8.2,,,,,1014.8,-0.3,,-2.4,,2.1,
340.0,6.2,7.2,,,,,1014.3,-0.3,,-3.0,,1.1,
330.0,6.2,7.2,,,,,1014.6,-0.4,,-4.5,,-0.3,
330.0,6.2,7.2,,,,,1015.4,-0.8,,-6.9,,0.6,
340.0,6.2,6.7,,,,,1015.2,-1.3,,-8.9,,0.9,
310.0,4.1,4.6,,,,,1016.1,-1.9,,-8.8,,1.5,
310.0,3.1,3.6,,,,,1015.2,-2.1,,-9.0,,0.0,
280.0,4.6,5.7,,,,,1016.1,-2.2,,-9.2,,0.9,
260.0,5.1,5.7,,,,,1017.0,-2.2,,-9.4,,0.9,
320.0,2.6,3.6,,,,,1016.6,-2.2,,-10.0,,1.4,
240.0,2.6,3.1,,,,,1016.8,-2.2,,-9.6,,0.7,
210.0,3.1,4.1,,,,,1016.5,-1.8,,-10.7,,-0.5,
220.0,5.7,6.2,,,,,1017.3,-2.5,,-9.8,,0.7,
210.0,5.7,6.7,,,,,1017.1,-1.7,,-6.9,,0.3,
200.0,7.2,7.7,,,,,1017.2,-0.7,,-6.7,,0.7,
210.0,7.7,8.8,,,,,1017.5,-0.8,,-6.8,,-0.0,
230.0,4.6,5.7,,,,,1017.6,0.0,,-6.6,,0.5,
240.0,4.1,4.6,,,,,1016.5,1.4,,-7.4,,-0.7,
240.0,4.6,5.7,,,,,1015.7,2.4,,-8.1,,-1.8,
240.0,4.1,4.6,,,,,1015.7,3.0,,-9.1,,-1.9,
260.0,6.7,7.7,,,,,1016.2,3.7,,-8.6,,-0.3,
240.0,4.6,5.7,,,,,1016.5,4.0,,-7.6,,0.8,
230.0,4.1,4.6,,,,,1017.2,4.0,,-6.8,,1.5,
210.0,4.6,4.6,,,,,1017.7,3.8,,-5.0,,1.5,
230.0,3.1,3.1,,,,,1018.6,3.5,,-5.1,,2.1,
330.0,5.1,6.2,,,,,1019.7,2.9,,-9.0,,2.5,
330.0,6.2,6.7,,,,,1020.1,2.1,,-10.7,,2.4,
330.0,4.6,5.7,,,,,1020.8,1.6,,-11.2,,2.2,
320.0,4.6,5.7,,,,,1021.6,1.2,,-11.4,,1.9,
330.0,5.1,6.7,,,,,1022.6,0.6,,-10.5,,2.5,
320.0,9.3,10.8,,,,,1023.5,-0.6,,-12.4,,2.7,
320.0,6.7,8.8,,,,,1024.5,-1.5,,-13.2,,2.9,
320.0,8.2,9.8,,,,,1025.6,-2.9,,-15.2,,3.0,
330.0,9.3,11.3,,,,,1026.0,-4.1,,-17.2,,2.5,
320.0,8.8,10.3,,,,,1026.9,-4.8,,-17.5,,2.4,
310.0,8.8,11.3,,,,,1028.0,-5.4,,-17.6,,2.4,
260.0,7.7,8.8,,,,,1029.0,-5.9,,-17.8,,3.0,
270.0,5.1,5.7,,,,,1029.7,-6.1,,-17.6,,2.8,
250.0,7.7,8.8,,,,,1030.4,-5.8,,-18.3,,2.4,
290.0,7.2,8.8,,,,,1031.1,-5.0,,-19.1,,2.1,
310.0,7.2,7.7,,,,,1031.3,-3.9,,-19.3,,1.6,
290.0,7.7,9.8,,,,,1030.5,-3.1,,-18.4,,0.0,
310.0,7.7,8.8,,,,,1029.8,-2.8,,-20.1,,-1.3,
300.0,8.2,9.3,,,,,1029.5,-2.4,,-20.2,,-1.8,
310.0,8.2,9.3,,,,,1029.9,-1.6,,-18.9,,-0.6,
310.0,6.2,7.2,,,,,1030.5,-1.1,,-19.5,,0.7,
290.0,3.6,4.1,,,,,1031.2,-0.9,,-18.9,,1.7,
340.0,4.6,5.1,,,,,1031.8,-1.4,,-19.5,,1.9,
350.0,4.6,5.1,,,,,1032.8,-1.9,,-20.0,,2.3,
330.0,4.1,5.1,,,,,1033.8,-2.3,,-19.0,,2.6,
330.0,3.6,4.1,,,,,1034.2,-2.7,,-18.6,,2.4,
330.0,3.1,3.6,,,,,1034.7,-2.8,,-17.9,,1.9,
350.0,3.6,4.1,,,,,1034.7,-3.1,,-18.3,,0.9,
10.0,3.1,3.6,,,,,1035.1,-3.2,,-18.6,,0.9,
50.0,2.6,3.1,,,,,1035.4,-3.3,,-18.5,,0.7,
10.0,1.0,1.5,,,,,1035.7,-3.3,,-18.9,,1.0,
90.0,1.0,1.5,,,,,1035.1,-3.2,,-15.2,,0.0,
140.0,2.6,3.1,,,,,1035.6,-3.1,,-13.2,,-0.0,
130.0,4.6,5.1,,,,,1035.4,-3.1,,-14.3,,-0.3,
130.0,5.7,6.2,,,,,1034.9,-3.2,,-14.1,,0.0,
130.0,6.7,7.2,,,,,1035.0,-3.4,,-15.3,,-0.6,
120.0,5.7,6.2,,,,,1035.0,-3.6,,-14.9,,-0.4,
120.0,5.7,6.2,,,,,1035.0,-3.4,,-14.6,,0.0,
160.0,5.7,6.2,,,,,1035.1,-2.2,,-12.9,,0.0,
170.0,6.2,6.7,,,,,1034.4,-1.3,,-9.4,,-0.6,
170.0,7.2,7.7,,,,,1032.8,0.0,,-6.7,,-2.2,
170.0,11.3,12.9,,,,,1030.2,1.5,,-5.0,,-4.9,
170.0,11.3,12.4,,,,,1027.1,2.4,,-7.1,,-7.3,
170.0,11.3,12.4,,,,,1026.5,2.9,,-5.9,,-6.3,
170.0,10.8,12.9,,,,,1026.1,3.2,,-3.6,,-4.1,
160.0,11.3,12.9,,,,,1025.4,3.4,,-3.0,,-1.7,
170.0,8.8,9.3,,,,,1025.4,3.3,,-1.9,,-1.1,
170.0,9.8,10.3,,,,,1024.7,3.6,,-1.5,,-1.4,
170.0,10.8,11.3,,,,,1024.1,3.7,,-1.0,,-1.3,
170.0,9.3,10.3,,,,,1023.3,3.6,,-0.9,,-2.1,
180.0,9.3,10.3,,,,,1022.4,3.8,,-2.2,,-2.3,
190.0,9.3,9.8,,,,,1021.8,3.8,,-3.0,,-2.3,
190.0,9.3,9.8,,,,,1021.3,4.4,,-3.4,,-2.0,
180.0,10.3,11.3,,,,,1020.0,5.7,,-3.8,,-2.4,
180.0,9.3,9.8,,,,,1019.4,5.3,,-2.9,,-2.4,
180.0,8.8,9.3,,,,,1019.1,4.9,,-2.6,,-2.2,
180.0,8.8,9.3,,,,,1018.6,5.0,,-3.4,,-1.4,
190.0,8.8,8.8,,,,,1018.6,5.1,,-4.1,,-0.8,
200.0,7.2,7.2,,,,,1018.7,5.1,,-4.1,,-0.4,
200.0,5.7,5.7,,,,,1019.2,5.2,,-3.1,,0.6,
290.0,4.6,5.1,,,,,1020.5,5.2,,-6.0,,1.9,
250.0,3.6,4.1,,,,,1020.6,5.6,,-6.4,,1.9,
230.0,4.1,4.1,,,,,1020.5,6.6,,-6.2,,1.3,
200.0,3.6,3.6,,,,,1020.4,7.1,,-4.1,,0.0,
190.0,6.7,6.7,,,,,1019.4,7.3,,-3.1,,-1.2,
260.0,8.2,9.8,,,,,1018.3,9.3,,-4.1,,-2.2,
270.0,7.2,7.7,,,,,1018.4,11.1,,-6.6,,-2.0,
300.0,5.7,6.2,,,,,1018.3,11.1,,-6.4,,-1.1,
260.0,2.1,2.6,,,,,1018.6,11.6,,-7.1,,0.3,
320.0,4.1,4.6,,,,,1019.6,11.0,,-7.8,,1.2,
300.0,1.5,2.1,,,,,1020.3,10.2,,-7.5,,2.0,
320.0,2.1,2.1,,,,,1020.8,9.4,,-7.7,,2.2,
320.0,4.1,4.6,,,,,1020.8,9.0,,-8.1,,1.2,
230.0,1.0,1.5,,,,,1021.4,7.7,,-7.6,,1.1,
310.0,4.1,4.6,,,,,1022.0,7.6,,-8.4,,1.2,
320.0,3.6,3.6,,,,,1022.4,6.7,,-8.6,,1.6,
320.0,2.6,2.6,,,,,1022.2,6.1,,-9.6,,0.8,
210.0,2.1,2.1,,,,,1022.3,4.2,,-6.4,,0.3,
240.0,2.1,2.6,,,,,1022.4,5.6,,-9.3,,0.0,
250.0,2.1,2.6,,,,,1022.6,2.4,,,,0.4,
260.0,2.1,2.6,,,,,1022.8,2.2,,-6.0,,0.5,
270.0,3.1,3.6,,,,,1023.1,3.9,,-10.5,,0.7,
290.0,4.1,4.1,,,,,1023.4,3.7,,-11.4,,0.8,
280.0,2.1,2.6,,,,,1024.0,2.7,,-10.9,,1.2,
230.0,1.5,1.5,,,,,1024.3,2.8,,-9.5,,1.2,
230.0,2.1,2.6,,,,,1024.6,2.5,,-6.7,,1.2,
310.0,2.1,2.6,,,,,1024.9,3.8,,-10.3,,0.9,
300.0,3.6,4.6,,,,,1024.9,5.9,,-11.0,,0.6,
310.0,5.7,6.7,,,,,1024.2,6.0,,-13.2,,-0.4,
300.0,6.2,6.7,,,,,1023.4,5.9,,-13.3,,-1.5,
310.0,6.7,7.2,,,,,1022.9,5.7,,-12.0,,-2.0,
320.0,4.1,4.1,,,,,1022.8,6.1,,-12.4,,-1.4,
280.0,5.7,6.2,,,,,1022.7,7.0,,-13.1,,-0.7,
320.0,4.1,4.6,,,,,1022.9,6.6,,-11.7,,0.0,
340.0,3.6,4.1,,,,,1023.8,6.0,,-12.3,,1.0,
330.0,5.1,5.7,,,,,1025.2,5.3,,-11.8,,2.5,
